job_title,company_name,company_page,location,job_type,Experience Level,Yrs of Exp,skills
Data Entry Clerk,K Line Europe -,https://wuzzuf.net/jobs/careers/-92966,"Nasr City, Cairo, Egypt",Full Time / On-site,Experienced,2+ Yrs of Exp,"['Creative/Design/Art', 'IT/Software Development', 'AutoCAD 2D', 'CAD', 'CAM', 'Microsoft Office', 'English', 'Communication', 'Data Entry', 'Administration']"
Data Governance Engineer,MOBILY INFOTECH LTD INDIA -,https://wuzzuf.net/jobs/careers/careers-mobilyinfotech-in-111215,"Cairo, Egypt",Full Time / Hybrid,Experienced,6 - 10 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Management', 'Informatica', 'Axon', 'EDC', 'DATA PROTECTION']"
"BI DWH BIG Data ""Outsource""",Efada Technology -,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,"6th of October, Giza, Egypt",Full Time / Hybrid,Experienced,4 - 5 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'BI', 'Computer Science', 'Database', 'Information Technology (IT)', 'Oracle', 'SQL', 'PLSql']"
Commercial Specialist ( Junior Data Analyst ),realme -,https://wuzzuf.net/jobs/careers/realme-Egypt-38950,"Nasr City, Cairo, Egypt",Full Time / On-site,Entry Level,1+ Yrs of Exp,"['Business Development', 'Analyst/Research', 'Sales/Retail', 'Statistics', 'Sales', 'Analysis', 'Business Analysis', 'Market Research', 'Research', 'Finance']"
Data Entry Clerk,easy Hub FZE -,https://wuzzuf.net/jobs/careers/easy-hub-fze-united-arab-emirates-128414,"Dubai, United Arab Emirates",Full Time / Remote,Entry Level,1 - 3 Yrs of Exp,"['Administration', 'Administration', 'Data', 'Data Entry', 'Prioritize Tasks', 'Multitasking', 'Team Player', 'Work Under Pressure', 'First Learner', 'Problem Solving']"
"Data Base Developer ""RAID""",Efada Technology -,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,"6th of October, Giza, Egypt",Full Time / Hybrid,Experienced,2 - 5 Yrs of Exp,"['IT/Software Development', 'Quality', 'Engineering - Telecom/Technology', 'developer', 'Sales', 'Outsourcing', 'Information Technology (IT)']"
Hotel Data Loading - Officer,Almosafer -,https://wuzzuf.net/jobs/careers/Almosafer-Egypt-19271,"Mohandessin, Giza, Egypt",Full Time / On-site,Entry Level,0 - 1 Yrs of Exp,"['Hospitality/Hotels/Food Services', 'Operations/Management', 'Tourism/Travel', 'hotel', 'Loading', 'Tourism', 'Quality Assurance', 'Travel', 'Contracting', 'E-Commerce']"
IT & Data Center Manager,Malvern College Egypt -,https://wuzzuf.net/jobs/careers/Malvern-College-Egypt-Egypt-22687,"Katameya, Cairo, Egypt",Full Time / On-site,Manager,5 - 10 Yrs of Exp,"['IT/Software Development', 'Project/Program Management', 'Engineering - Telecom/Technology', 'IT', 'IT Manager', 'Information Technology (IT)', 'Computer Science', 'Manager', 'Computer Engineering', 'Project Management']"
Data Entry,Energya Steel Fabrication- Elsweedy Helal -,https://wuzzuf.net/jobs/careers/Energya-Steel-Solutions-Egypt-48605,"10th of Ramadan City, Sharqia, Egypt",Full Time / On-site,Entry Level,1 - 3 Yrs of Exp,"['Administration', 'Customer Service/Support', 'Administration', 'computer', 'Customer Service', 'Data', 'Data Entry', 'excel', 'inventory', 'Management']"
Data Entry Labeler,Citylogix ME   -,https://wuzzuf.net/jobs/careers/-104747,"New Cairo, Cairo, Egypt",Full Time / On-site,Entry Level,0 - 3 Yrs of Exp,"['Administration', 'Operations/Management', 'Roads', 'QA', 'Highways', 'computer', 'Administration', 'Data Entry']"
Quality Data Analysis Engineer,Sumitomo Electric Egypt -,https://wuzzuf.net/jobs/careers/SE-Wiring-Systems-EGYPT-Egypt-23300,"6th of October, Giza, Egypt",Full Time / On-site,Entry Level,1 - 2 Yrs of Exp,"['Quality', 'Analyst/Research', 'Engineering - Mechanical/Electrical', 'SQL', 'Data Analysis', 'quality', 'Engineering', 'Microsoft Office', 'Communication']"
Sr Data Engineer,SANTECHTURE  -,https://wuzzuf.net/jobs/careers/-122824,"Sheraton, Cairo, Egypt",Full Time / Hybrid,Experienced,5+ Yrs of Exp,"['IT/Software Development', 'Medical/Healthcare', 'Analyst/Research', 'Big Data', 'Engineering', 'Information Technology (IT)', 'Software Engineering', 'Troubleshooting', 'SQL', 'AWS']"
Data Analyst,Ostool Transport -,https://wuzzuf.net/jobs/careers/Ostool-transportation-Egypt-23522,"6th of October, Giza, Egypt",Full Time / On-site,Experienced,3 - 5 Yrs of Exp,"['Analyst/Research', 'Microsoft Excel', 'business', 'Analysis', 'Market Research', 'English', 'Data Analysis', 'Power BI', 'Microsoft Powerpoint']"
English Data Entry Specialist,Casita -,https://wuzzuf.net/jobs/careers/Casita-Egypt-47449,"Dokki, Giza, Egypt",Full Time / Hybrid,Entry Level,1+ Yrs of Exp,"['Administration', 'Writing/Editorial', 'Data Entry', 'English', 'Typing', 'Typing Skills', 'Microsoft Office', 'Administration', 'Trello', 'Detail Oriented']"
Data Analysis Specialist ( Powe Bi ),Global Tires Trading and Distribution  -,https://wuzzuf.net/jobs/careers/Global-tires-Egypt-110948,"New Cairo, Cairo, Egypt",Full Time / On-site,Entry Level,1 - 3 Yrs of Exp,"['Administration', 'IT/Software Development', 'Analyst/Research', 'Analysis', 'business', 'Data', 'Data Analysis', 'Engineering', 'English', 'Information Technology (IT)']"
Performance Data Manager,MEAHCO - Saudi German Health -,https://wuzzuf.net/jobs/careers/Saudi-German-Group-Egypt-71088,"Katameya, Cairo, Egypt",Full Time / On-site,Experienced,5 - 7 Yrs of Exp,"['Human Resources', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Python', 'Power BI', 'RPA', 'Tableau', 'QlikView', 'Automation']"
Manager Data Engineering,SANTECHTURE  -,https://wuzzuf.net/jobs/careers/-122824,"Sheraton, Cairo, Egypt",Full Time / Hybrid,Manager,5 - 8 Yrs of Exp,"['IT/Software Development', 'Information Technology (IT)', 'Design', 'Computer Science', 'Engineering', 'Software', 'Database SQL Server', 'Communication', 'Java', 'Management']"
Data Entry,Carina Wear -,https://wuzzuf.net/jobs/careers/Carina-Wear-Office-Egypt-20411,"New Cairo, Cairo, Egypt",Full Time / On-site,Entry Level,0 - 1 Yrs of Exp,"['Administration', 'Data Entry', 'Microsoft Office', 'Administration', 'Customer Service', 'English', 'Data', 'entry', 'Microsoft Excel', 'Product']"
Football Data Entry Specialist,KoraStates -,https://wuzzuf.net/jobs/careers/KoraStates-Egypt-127333,"Cairo, Egypt",Full Time / On-site / Shift Based,Entry Level,0 - 1 Yrs of Exp,"['Administration', 'Sports and Leisure', 'Data', 'Data Entry', 'football', 'Administration']"
Data Quality Engineer,MOBILY INFOTECH LTD INDIA -,https://wuzzuf.net/jobs/careers/careers-mobilyinfotech-in-111215,"Cairo, Egypt",Full Time / Hybrid,Experienced,5 - 7 Yrs of Exp,"['IT/Software Development', 'Quality', 'Teradata', 'SQL', 'Telecom', 'Data stage', 'Data']"
IT - Data Base Administrator,Raya Customer Experience -,https://wuzzuf.net/jobs/careers/Raya-Contact-Center-Egypt-19033,"6th of October, Giza, Egypt",Full Time / On-site,Experienced,6 - 9 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'MySQL', 'Database', 'Computer Science', 'Installation', 'SQL', 'Software Development', 'Information Technology (IT)', 'Design']"
E-Commerce Data Entry Specialist – New Cairo,Petz Zone -,https://wuzzuf.net/jobs/careers/-101433,"New Cairo, Cairo, Egypt",Full Time / On-site,Experienced,3 - 6 Yrs of Exp,"['Administration', 'Commerce', 'Data Entry', 'E-Marketing', 'E-Commerce', 'Administration', 'Data']"
HR Data Analyst,British University of Egypt -,https://wuzzuf.net/jobs/careers/British-University-of-Egypt-Egypt-70684,"Shorouk City, Cairo, Egypt",Full Time / On-site,Experienced,2 - 4 Yrs of Exp,"['Administration', 'Data Analysis', 'HR', 'Human Resources', 'Analysis', 'Analytics']"
Data Entry Clerk,Confidential -,,"Maadi, Cairo, Egypt",Full Time / On-site,Entry Level,1 - 3 Yrs of Exp,"['Administration', 'Shopify', 'WordPress', 'Business English', 'Microsoft Office', 'Computer Skills', 'Commerce', 'E-Commerce', 'Data Entry', 'Administration']"
Power BI Data Analyst,Zeina Group -,https://wuzzuf.net/jobs/careers/Zeina-Group-Egypt-11128,"Sheikh Zayed, Giza, Egypt",Full Time / On-site,Experienced,2+ Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Analysis', 'Azure', 'BI', 'DAX', 'Microsoft Power BI', 'Power BI', 'Python']"
Senior Data Engineer,Link Development -,https://wuzzuf.net/jobs/careers/Link-Development-Egypt-15576,"Cairo, Egypt",Full Time / Hybrid,Experienced,5+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Communication', 'computer', 'Data', 'Engineering', 'SSIS', 'Computer Science', 'Science', 'Software Development']"
Data Entry Clerk,alfanar -,https://wuzzuf.net/jobs/careers/Alfanar-Egypt-58564,"Cairo, Egypt",Full Time / On-site,Experienced,2 - 5 Yrs of Exp,"['Administration', 'Writing/Editorial', 'Administration', 'computer', 'Data', 'Data Entry', 'English', 'excel', 'Microsoft Office', 'Typing']"
Commercial Specialist (Data Analyst),OPPO Egypt  -,https://wuzzuf.net/jobs/careers/OPPO-Egypt-For-Trade-and-Distribution-Egypt-7132,"Nasr City, Cairo, Egypt",Full Time / On-site,Entry Level,0 - 2 Yrs of Exp,"['Analyst/Research', 'Sales/Retail', 'Accounting', 'Finance', 'Invoices', 'Auditing', 'Selling Database', 'Selling Volume', 'Analyst', 'Commerce']"
Data Entry,Parkville Pharmaceuticals -,https://wuzzuf.net/jobs/careers/Parkville-Pharmaceuticals-Egypt-9968,"Cairo, Egypt",Full Time / On-site,Entry Level,1 - 2 Yrs of Exp,"['Administration', 'Data Entry', 'Administration', 'ERP']"
Senior Data Engineer,Erada -,https://wuzzuf.net/jobs/careers/Erada-Egypt-89969,"Maadi, Cairo, Egypt",Full Time / Hybrid,Experienced,4 - 6 Yrs of Exp,"['IT/Software Development', 'Engineering', 'Computer Science', 'Spark', 'Data Warehousing', 'Big Data', 'ETL', 'Data Modeling']"
Data analysis Instructor,Yat Learning Centers -,https://wuzzuf.net/jobs/careers/Yat-Learning-Centers-Egypt-1672,"Cairo, Egypt",Freelance / Project / Full Time / On-site,Experienced,2 - 10 Yrs of Exp,"['Analyst/Research', 'Education/Teaching', 'Training/Instructor', 'Power BI', 'Analysis', 'Data', 'Data Analysis', 'SQL', 'Tableau']"
Data Entry Agent,Zeina Group -,https://wuzzuf.net/jobs/careers/Zeina-Group-Egypt-11128,"Sheikh Zayed, Giza, Egypt",Full Time / On-site,Experienced,2 - 4 Yrs of Exp,"['Administration', 'Administration', 'computer', 'Data', 'Data Entry', 'excel', 'Microsoft Office', 'MS Office', 'Typing', 'typing skills']"
Customer Support and Data Entry,Confidential -,,"New Cairo, Cairo, Egypt",Full Time / Remote,Entry Level,Customer Service/Support,"['English', 'Remote work', 'Customer Support', 'Customer Service', 'Customer Care', 'Computer Skills', 'Microsoft Excel', 'Data Entry', 'Inbound Calls']"
Data Analyst,Al Ola steel Group -,https://wuzzuf.net/jobs/careers/Al-Ola-steel-Group-Egypt-41371,"Dokki, Giza, Egypt",Full Time / On-site,Entry Level,1 - 4 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'communications', 'Analysis', 'Analyst', 'Computer Science', 'Data Analysis', 'Data', 'Data Analyst', 'Information Technology (IT)']"
Data Analyst,je-x -,https://wuzzuf.net/jobs/careers/je-x-Egypt-119960,"New Cairo, Cairo, Egypt",Full Time / On-site,Manager,3 - 5 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Analysis', 'analytical', 'Data Analysis', 'Information Technology (IT)', 'Data', 'Data Analyst', 'Analyst']"
Low current and data design engineer junior/senior,Dtec   -,https://wuzzuf.net/jobs/careers/Dtec-Egypt-116045,"New Heliopolis, Cairo, Egypt",Full Time / On-site,Experienced,Engineering - Construction/Civil/Architecture,"['Engineering - Mechanical/Electrical', 'Engineering - Other', 'Electrical Engineering', 'Communication Engineering', 'Low Current Systems (LC)']"
Data Analyst,Intaj Alamal -,https://wuzzuf.net/jobs/careers/Intag-Alamal-Egypt-46439,"Maadi, Cairo, Egypt",Full Time / On-site,Experienced,3 - 7 Yrs of Exp,"['Analyst/Research', 'Analytics', 'Analysis', 'Analyze', 'Data Analytics', 'Data Analysis', 'Data', 'Management']"
Data Entry and Reservation Agent,ISIS Travel group -,https://wuzzuf.net/jobs/careers/ISIS-Travel-group-Egypt-9731,"Dokki, Giza, Egypt",Full Time / On-site,Experienced,2 - 4 Yrs of Exp,"['Tourism/Travel', 'Data Entry', 'English', 'Microsoft Office', 'Reservation', 'Travel', 'Sales']"
Data Analyst,Confidential -,,"Cairo, Egypt",Full Time / On-site,Experienced,2 - 4 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Analyzing', 'Computer Science', 'Analysis', 'Data', 'Data Analysis', 'Engineering', 'Information Technology (IT)']"
E commerce Product Listing Specialist,Dora Management Solutions -,https://wuzzuf.net/jobs/careers/Home-city-Egypt-48529,"Sheraton, Cairo, Egypt",Full Time / On-site,Experienced,2 - 5 Yrs of Exp,"['Marketing/PR/Advertising', 'Analyst/Research', 'Sales/Retail', 'Data Entry', 'E-Marketing', 'E-Commerce', 'Product Management', 'Product', 'Commerce']"
Data Processor,Confidential -,,"Cairo, Egypt",Full Time / On-site,Entry Level,1 - 3 Yrs of Exp,"['Administration', 'English', 'Typing', 'Data Processor', 'Data Entry', 'Microsoft Excel', 'Microsoft Office', 'Administration']"
Marketing Manager,Ghazal spa -,https://wuzzuf.net/jobs/careers/ghazal-spa-egypt-128955,"New Cairo, Cairo, Egypt",Full Time / On-site,Manager,4+ Yrs of Exp,"['Marketing/PR/Advertising', 'Analysis', 'Communication', 'campaigns', 'Market Research', 'Data Analysis', 'Social Media', 'Marketing Campaigns', 'Marketing', 'Pharmaceutical']"
International Project Manager,Insight-HQ -,https://wuzzuf.net/jobs/careers/insight-hq-ivory-coast-128920,"Cairo, Egypt",Full Time / On-site,Experienced,2+ Yrs of Exp,"['Project/Program Management', 'Analyst/Research', 'Project Management', 'Statistics', 'Data Analyst', 'Data Analysis', 'Power BI', 'Egyptian Arabic', 'Quality Control', 'Microsoft Excel']"
Customs Clearance,Fastn Accurate For shipping and logistics services   -,https://wuzzuf.net/jobs/careers/Fastn Accurate For shipping and logistics services-Egypt-106089,"Sheraton, Cairo, Egypt",Full Time / On-site,Experienced,3 - 8 Yrs of Exp,"['Logistics/Supply Chain', 'Customs Clearance', 'Data Entry', 'Nafeza Platform', 'Logistics']"
iOS App Developer,Confidential -,,"Koeln, Germany",Full Time / Remote,Experienced,3 - 20 Yrs of Exp,"['IT/Software Development', 'iOS Development', 'Swift', 'Core Graphics', 'Core Data', 'Mobile Development']"
Junior Accountant,oworkers -,https://wuzzuf.net/jobs/careers/oworkers-United-Kingdom-26841,"Maadi, Cairo, Egypt",Full Time / On-site / Shift Based,Entry Level,2 - 3 Yrs of Exp,"['Accounting/Finance', 'Administration', 'Accounting', 'Accounting Software', 'Data Entry', 'English', 'Finance', 'Financial Analysis', 'Microsoft Office', 'Oracle']"
"Consultant, Talent Business Partner - Employee Relations - 12 months contract/Based in Cairo",Agoda -,https://wuzzuf.net/jobs/careers/-101222,"New Cairo, Cairo, Egypt",Full Time / Hybrid,Experienced,5 - 10 Yrs of Exp,"['Human Resources', 'Employee Relations', 'HR generalist', 'Human Resources (HR)', 'Data', 'HR', 'Recruitment', 'Talent management', 'Training']"
Industrial Quality Engineer,Prometeon tyres group – Egypt -,https://wuzzuf.net/jobs/careers/Pirelli-Egypt-4786,"Ameria, Alexandria, Egypt",Full Time / On-site,Entry Level,1 - 3 Yrs of Exp,"['Manufacturing/Production', 'Quality', 'Analysis', 'AutoCAD', 'Engineering', 'Mechanical', 'Production', 'quality', 'Quality Control', 'Data Analysis']"
Senior Inventory Control Specialist,Cairo Three A Poultry -,https://wuzzuf.net/jobs/careers/Pyramid-Poultry-Co--Egypt-50882,"New Cairo, Cairo, Egypt",Full Time / On-site,Experienced,2 - 4 Yrs of Exp,"['Logistics/Supply Chain', 'Inventory Control', 'Stock Control', 'Analysis', 'Data', 'excel', 'inventory', 'Logistics', 'Management', 'Quality Assurance']"
"Node.js Developer ""Chatbot outsource""",Efada Technology -,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,"6th of October, Giza, Egypt",Full Time / Hybrid,Experienced,4 - 6 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'APIs', 'Computer Science', 'Software Development', 'Data Structures', 'Docker', 'Information Technology (IT)', 'Linux']"
Tech Lead Data Engineering,HYVE Technology Consulting  -,https://wuzzuf.net/jobs/careers/HYVE-Technology-Consulting-Egypt-20786,"Nasr City, Cairo, Egypt",Full Time / Hybrid,Manager,6 - 11 Yrs of Exp,"['IT/Software Development', 'Computer Engineering', 'Data', 'Data Analysis', 'ETL', 'Hadoop', 'Python', 'Relational Databases', 'SQL', 'IBM DataStage']"
Data Engineer,HYVE Technology Consulting  -,https://wuzzuf.net/jobs/careers/HYVE-Technology-Consulting-Egypt-20786,"Cairo, Egypt",Full Time / On-site,Experienced,2 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Engineering', 'Computer Science', 'Data Mining', 'Data', 'Database', 'Engineering', 'Ibm', 'Information Technology (IT)']"
Data Scientist,HYVE Technology Consulting  -,https://wuzzuf.net/jobs/careers/HYVE-Technology-Consulting-Egypt-20786,"Cairo, Egypt",Full Time / On-site,Experienced,2 - 5 Yrs of Exp,"['IT/Software Development', 'Computer Science', 'Data', 'Data Science', 'data scientist', 'Engineering', 'Hadoop', 'Information Technology (IT)', 'Java', 'Python']"
Data Entry Specialist,Micro Engineering -,https://wuzzuf.net/jobs/careers/MEEG-Egypt-16608,"Heliopolis, Cairo, Egypt",Full Time / On-site,Student,0 - 2 Yrs of Exp,"['Other', 'Data Entry', 'entry', 'English', 'Skills', 'Communication', 'Communication skills']"
Data Entry Clerk,Confidential -,,"Cairo, Egypt",Full Time / On-site,Entry Level,0 - 6 Yrs of Exp,"['Writing/Editorial', 'Data Entry', 'Data', 'Microsoft Office', 'Administration', 'excel', 'MS Office', 'Skills', 'Typing', 'typing skills']"
Customer Service Agent,German Auto Service (GAS) -,https://wuzzuf.net/jobs/careers/German-Automotive-Services-Egypt-126487,"Salam City, Cairo, Egypt",Full Time / On-site,Entry Level,1 - 3 Yrs of Exp,"['males_only', 'Customer Service/Support', 'Call Center', 'Customer Care', 'Customer Service', 'Customer Support', 'Data Entry', 'Communication']"
Senior Production Engineer,Chema Foam -,https://wuzzuf.net/jobs/careers/Chema-Foam-Egypt-29477,"10th of Ramadan City, Sharqia, Egypt",Full Time / On-site,Experienced,4 - 6 Yrs of Exp,"['Manufacturing/Production', 'Senior Producion Engineer', 'Lean Six Sigma', 'Manufacturing Industry', 'Data Analysis', 'AutoCAD', 'Manufacturing', 'Production', 'Production Engineering', 'SolidWorks']"
Sales Operations Assistant Manager,Minlo -,https://wuzzuf.net/jobs/careers/Minlo-Egypt-15232,"Heliopolis, Cairo, Egypt",Full Time / On-site,Experienced,9 - 11 Yrs of Exp,"['Sales/Retail', 'assistant manager', 'Management', 'Operations', 'Sales', 'sales skills', 'Information Analysis', 'Data Entry', 'Sales Forecasting', 'Sales Operations']"
Accounting Manager,Maxevia Corporate -,https://wuzzuf.net/jobs/careers/MAC-Gym-Egypt-28638,"Nasr City, Cairo, Egypt",Full Time / On-site,Manager,5 - 10 Yrs of Exp,"['Accounting/Finance', 'Administration', 'Operations/Management', 'Accounting', 'accounting data', 'Finance', 'Financial Accounting', 'Financial Management', 'reports', 'Transactions']"
Sales Marketing Executive,Karisma marketing -,https://wuzzuf.net/jobs/careers/--118027,"Sheraton, Cairo, Egypt",Full Time / On-site,Experienced,2 - 4 Yrs of Exp,"['Marketing/PR/Advertising', 'sales skills', 'Marketing executive', 'Analysis', 'Communication', 'Data Analysis', 'Management', 'market', 'Market Research', 'Marketing']"
Fraud Prevention Specialist,Alshaya -,https://wuzzuf.net/jobs/careers/Alshaya-Egypt-31261,"Nasr City, Cairo, Egypt",Full Time / On-site,Experienced,1 - 3 Yrs of Exp,"['Customer Service/Support', 'Operations/Management', 'Quality', 'Microsoft Office 365', 'Fraud Prevention', 'Salesforce', 'Data Analysis', 'Multitasking']"
Industrial Quality Internship - Alexandria,Prometeon tyres group – Egypt -,https://wuzzuf.net/jobs/careers/Pirelli-Egypt-4786,"Ameria, Alexandria, Egypt",Internship / On-site,Entry Level,0 - 1 Yrs of Exp,"['Quality', 'Engineering - Mechanical/Electrical', 'industrial Quality', 'Data Analysis', 'Reporting', 'Engineering', 'Mechanical', 'Electromechanical Engineering', 'quality', 'Quality Assurance']"
"Office Admin at Sheikh Zayed, Arkan",World Gate  -,https://wuzzuf.net/jobs/careers/World Gate-Egypt-122033,"Cairo, Egypt",Full Time / On-site,Entry Level,1 - 2 Yrs of Exp,"['Administration', 'Admin', 'Administration', 'Data Entry', 'administrative', 'Office management', 'Operations']"
Dispatcher,Apex group -,https://wuzzuf.net/jobs/careers/apex-group-jordan-128748,"Nasr City, Cairo, Egypt",Full Time / Hybrid,Entry Level,Other,"['Dispatch', 'English', 'Communication', 'Data Entry', 'dispatching']"
Operation Analyst Specialist,Etisal EG -,https://wuzzuf.net/jobs/careers/Etisal-EG-Egypt-33245,"New Cairo, Cairo, Egypt",Full Time / On-site,Experienced,2 - 4 Yrs of Exp,"['Business Development', 'Operations/Management', 'Analyst/Research', 'Data Analysis', 'analytical', 'Operations', 'Analytics', 'Communication', 'Communication skills', 'Customer Service']"
Sales Engineer (Data Center solution),ISST-FIBER OCEAN -,https://wuzzuf.net/jobs/careers/-117487,"Maadi, Cairo, Egypt",Full Time / On-site,Experienced,4 - 7 Yrs of Exp,"['Sales/Retail', 'Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Electrical Engineering', 'Engineering', 'Sales', 'Data Center Management', 'data center', 'Sales Engineering', 'data center infrastructure']"
Accountant,Confidential -,,"Cairo, Egypt",Full Time / On-site,Experienced,2 - 4 Yrs of Exp,"['Accounting/Finance', 'Banking', 'Purchasing/Procurement', 'Accounting', 'Financial Accounting', 'Account Management', 'Payroll', 'Accounts Payable', 'Payable Accounting', 'Payroll Accounting']"
Marketing Executive,Guest Lighting Solution -,https://wuzzuf.net/jobs/careers/Guest-Lighting-Solution-Egypt-128990,"New Cairo, Cairo, Egypt",Full Time / Part Time / Remote,Experienced,3 - 5 Yrs of Exp,"['females_only', 'Manufacturing/Production', 'Marketing/PR/Advertising', 'Analyst/Research', 'Digital Marketing: Strong knowledge of SEO, SEM, email marketing, and social media advertising (Google Ads, Facebook Ads, LinkedIn Ads).', 'Content Creation: Ability to create compelling content for blogs, social media, and ad campaigns that resonate with the target audience.', 'Analytics & Reporting: Proficiency in using analytics tools like Google Analytics, SEMrush, or social media insights to track campaign performance and make data-driven decisions.', 'Project Management: Strong organizational skills with the ability to manage multiple projects and deadlines efficiently.', 'Creativity: A creative mindset to develop unique, engaging marketing strategies that align with the tech industry.', 'Communication: Excellent written and verbal communication skills, with the ability to collaborate effectively across teams.', 'Brand Strategy: Understanding of how to build and maintain a strong brand presence across various digital platforms.']"
Etisalat UAE (Mail and Chat Backoffice) Excellent English Speakers,Etisalat Egypt -,https://wuzzuf.net/jobs/careers/Etisalat-Misr-Egypt-4219,"Maadi, Cairo, Egypt",Full Time / On-site,Entry Level,0 - 4 Yrs of Exp,"['Business Development', 'Customer Service/Support', 'IT/Software Development', 'Customer Service', 'Customer Care', 'Call Center', 'Customer Support', 'Customer Relations', 'Customer Satisfaction', 'Customer Retention']"
